Year,MeanGlacierMass,GCAGMeanGlobalTemp),NHem,SHem,TotalCo2Emission,GasFuel,Liquidfuel,SolidFuel,Cement,GasFlaring,PerCapita
1975,-10.534,0.0034,-0.05,0.02,4596,604,2132,1673,95,92,1.13
1976,-10.633,-0.0792,-0.21,0.01,4864,630,2314,1710,103,108,1.18
1977,-10.682,0.1978,0.12,0.24,5026,650,2398,1765,108,104,1.19
1978,-10.754,0.1123,0.02,0.12,5087,680,2392,1793,116,106,1.19
1979,-11.127,0.2273,0.08,0.25,5369,721,2544,1887,119,98,1.23
1980,-11.318,0.2637,0.17,0.35,5315,740,2422,1947,120,86,1.2
1981,-11.394,0.2999,0.37,0.27,5152,756,2289,1921,121,64,1.14
1982,-11.849,0.1815,0.05,0.23,5113,740,2196,1992,121,64,1.11
1983,-11.845999999999998,0.3411,0.25,0.38,5094,741,2176,1995,125,58,1.09
1984,-11.902,0.149,0.04,0.27,5280,808,2199,2094,128,51,1.11
1985,-12.238,0.1342,0.0,0.23,5439,837,2186,2237,131,49,1.12
1986,-12.782,0.2296,0.13,0.23,5607,831,2293,2300,137,46,1.14
1987,-12.795,0.3696,0.25,0.41,5752,894,2306,2364,143,44,1.15
1988,-13.26,0.3757,0.37,0.4,5965,937,2412,2414,152,50,1.17
1989,-13.343,0.297,0.27,0.28,6097,985,2459,2457,156,41,1.17
1990,-13.687,0.4328,0.53,0.37,6127,1019,2492,2419,157,40,1.16
1991,-14.255,0.4055,0.41,0.4,6217,1063,2605,2345,161,44,1.16
1992,-14.501,0.2571,0.14,0.31,6164,1095,2510,2357,167,35,1.13
1993,-14.695,0.2853,0.19,0.28,6162,1129,2523,2298,176,36,1.11
1994,-15.276,0.3409,0.37,0.26,6266,1139,2546,2358,186,38,1.11
1995,-15.486,0.4577,0.58,0.32,6398,1157,2565,2442,197,36,1.12
1996,-15.89,0.3228,0.27,0.39,6542,1209,2624,2469,203,37,1.13
1997,-16.487000000000002,0.5187,0.52,0.42,6651,1208,2700,2495,209,38,1.13
1998,-17.31,0.6344,0.71,0.52,6643,1243,2766,2391,209,35,1.12
1999,-17.697,0.4438,0.48,0.29,6610,1270,2737,2352,217,33,1.1
2000,-17.727,0.4262,0.5,0.29,6765,1288,2838,2367,226,45,1.11
2001,-18.032,0.5473,0.64,0.44,6927,1312,2840,2492,237,46,1.12
2002,-18.726,0.6023,0.72,0.54,6996,1344,2831,2521,252,48,1.12
2003,-19.984,0.6134,0.75,0.5,7416,1391,2959,2743,276,48,1.17
2004,-20.703000000000007,0.5783,0.66,0.43,7807,1437,3053,2967,298,53,1.21
2005,-21.405,0.6585,0.86,0.5,8093,1480,3076,3157,320,60,1.24
2006,-22.595,0.6125,0.82,0.46,8370,1525,3089,3339,356,61,1.27
2007,-23.255,0.61,0.86,0.47,8566,1572,3081,3464,382,68,1.28
2008,-23.776,0.5419,0.68,0.4,8783,1631,3122,3571,388,71,1.3
2009,-24.459,0.6367,0.73,0.59,8740,1585,3056,3620,413,66,1.28
2010,-25.158,0.7014,0.91,0.55,9167,1702,3114,3842,450,59,1.33
